state_abbr,municipio_name,sex,pop_15,no_school,preschool,elementary,secondary,highschool,higher_edu,other,schoolyrs
MEX,Coyotepec,Hombres,14181,4.44961568295606,0.17629222198716327,17.297792821380707,39.14392497003028,26.9233481418799,11.6211832733939,0.38784288837176,9.2867772
MEX,Coyotepec,Mujeres,15225,6.6863711001642,0.07881773399014266,23.24466338259437,35.40886699507382,23.7635467980295,10.3842364532019,0.43349753694581,8.6785549
MEX,Cuautitlán,Total,111382,1.18331507784022,0.08080300228043903,11.696683485661918,26.0823113249896,33.5871146145696,27.2225314682803,0.14724102637769,11.0575231
MEX,Cuautitlán,Hombres,53506,0.8204687324786,0.04672373191791485,9.049452397861875,26.819422120883583,34.3643703509886,28.8229357455238,0.07662692034538,11.3062727
MEX,Cuautitlán,Mujeres,57876,1.51876425461331,0.11230907457322224,14.144032068560314,25.400857004630517,32.8685465477918,25.7429677240998,0.21252332573087,10.8273315
MEX,Cuautitlán Izcalli,Total,409775,1.45396864132755,0.1381245805625025,15.093648953694073,26.2136538344213,29.5720822402538,27.1153681898602,0.41315355988042,10.8929296
MEX,Cuautitlán Izcalli,Hombres,195217,0.9794228986205,0.11986660997761137,12.24432298416632,26.860365644385443,29.4851370526132,29.998924274013,0.31196053622379,11.2323068
MEX,Cuautitlán Izcalli,Mujeres,214558,1.88573718994397,0.1547367145480442,17.686126828176942,25.625238863151168,29.6511898880489,24.4917458216426,0.5052246944882,10.5834198
MEX,Donato Guerra,Total,21824,13.0773460410557,0.3665689149560103,43.09934017595307,26.470857771260963,11.7164589442815,5.07239736070381,0.19703079178885,6.3601309
MEX,Donato Guerra,Hombres,10376,8.67386276021588,0.27949113338473286,45.09444872783342,28.344255975327584,12.0373939861218,5.40670778720123,0.16383962991518,6.6948675
MEX,Donato Guerra,Mujeres,11448,17.0684835779175,0.44549266247378894,41.2910552061495,24.77288609364076,11.4255765199161,4.76939203354297,0.22711390635918,6.0567962
MEX,Ecatepec de Morelos,Total,1284029,2.87119683433941,0.12554233588182004,20.512153541703427,30.23654450172069,28.5211626840203,17.5698523942995,0.16354770803463,9.7800333
MEX,Ecatepec de Morelos,Hombres,615765,2.11249421451365,0.09711497080866728,18.0445462148709,31.694721200457902,29.6736579701671,18.226596185233,0.15086924394858,10.0131181
MEX,Ecatepec de Morelos,Mujeres,668264,3.57029557180994,0.1517364394909777,22.785904971687792,28.8929225575521,27.4592077382591,16.9647025726359,0.17523014856404,9.5650688
MEX,Ecatzingo,Total,6404,5.80886945658963,0.34353529044347025,26.764522173641424,38.429106808244825,23.3447845096814,5.15302935665209,0.15615240474703,8.1178772
