state_abbr,municipio_name,pop,pop_male,pop_female,afromexican,indigenous,metro_area
OAX,San Agustín Loxicha,24467,11979,12488,937,23772,NA
OAX,San Agustín Tlacotepec,929,405,524,8,900,NA
OAX,San Agustín Yatareni,4334,2000,2334,31,2701,Oaxaca
OAX,San Andrés Cabecera Nueva,2819,1388,1431,117,1943,NA
OAX,San Andrés Dinicuiti,2112,1033,1079,12,977,NA
OAX,San Andrés Huaxpaltepec,6168,2963,3205,1137,4393,NA
OAX,San Andrés Huayápam,5336,2558,2778,36,2235,Oaxaca
OAX,San Andrés Ixtlahuaca,1604,759,845,2,1107,NA
OAX,San Andrés Lagunas,483,220,263,1,261,NA
OAX,San Andrés Nuxiño,1756,842,914,308,1695,NA
OAX,San Andrés Paxtlán,4295,2129,2166,44,4058,NA
OAX,San Andrés Sinaxtla,716,335,381,40,432,NA
OAX,San Andrés Solaga,1671,821,850,6,1652,NA
OAX,San Andrés Teotilálpam,4425,2102,2323,16,4307,NA
OAX,San Andrés Tepetlapa,472,227,245,5,318,NA
OAX,San Andrés Yaá,422,191,231,0,420,NA
OAX,San Andrés Zabache,739,335,404,9,694,NA
OAX,San Andrés Zautla,4409,2106,2303,107,3255,NA
OAX,San Antonino Castillo Velasco,6009,2849,3160,72,5256,NA
OAX,San Antonino el Alto,2606,1287,1319,91,2412,NA
OAX,San Antonino Monte Verde,7305,3332,3973,75,7088,NA
OAX,San Antonio Acutla,249,116,133,31,221,NA
OAX,San Antonio de la Cal,23038,10809,12229,486,9498,Oaxaca
OAX,San Antonio Huitepec,4421,2015,2406,372,4222,NA
OAX,San Antonio Nanahuatípam,1227,608,619,2,575,NA
OAX,San Antonio Sinicahua,1484,667,817,3,1463,NA
OAX,San Antonio Tepetlapa,4245,2033,2212,134,4058,NA
OAX,San Baltazar Chichicápam,2494,1174,1320,9,2440,NA
OAX,San Baltazar Loxicha,2996,1446,1550,292,2187,NA
OAX,San Baltazar Yatzachi el Bajo,641,303,338,5,626,NA
OAX,San Bartolo Coyotepec,9105,4309,4796,485,4819,Oaxaca
OAX,San Bartolomé Ayautla,4415,2117,2298,58,4367,NA
OAX,San Bartolomé Loxicha,2337,1146,1191,19,2303,NA
OAX,San Bartolomé Quialana,2476,1030,1446,8,2383,NA
OAX,San Bartolomé Yucuañe,386,164,222,0,374,NA
OAX,San Bartolomé Zoogocho,334,143,191,0,329,NA
OAX,San Bartolo Soyaltepec,654,296,358,3,607,NA
OAX,San Bartolo Yautepec,636,318,318,0,620,NA
OAX,San Bernardo Mixtepec,2741,1313,1428,29,1885,NA
OAX,San Blas Atempa,18406,9153,9253,70,15596,Tehuantepec
OAX,San Carlos Yautepec,12101,6083,6018,23,10622,NA
OAX,San Cristóbal Amatlán,5148,2402,2746,130,5029,NA
OAX,San Cristóbal Amoltepec,1004,442,562,9,980,NA
OAX,San Cristóbal Lachirioag,1206,586,620,4,1186,NA
OAX,San Cristóbal Suchixtlahuaca,360,179,181,0,233,NA
OAX,San Dionisio del Mar,5127,2605,2522,70,4701,NA
OAX,San Dionisio Ocotepec,10628,4961,5667,63,10108,NA
OAX,San Dionisio Ocotlán,1077,522,555,0,543,NA
OAX,San Esteban Atatlahuca,3596,1746,1850,67,3554,NA
OAX,San Felipe Jalapa de Díaz,27979,13245,14734,351,27188,NA
OAX,San Felipe Tejalápam,7862,3715,4147,117,5963,NA
OAX,San Felipe Usila,11604,5519,6085,19,11466,NA
OAX,San Francisco Cahuacuá,3379,1679,1700,315,3018,NA
OAX,San Francisco Cajonos,440,213,227,0,427,NA
OAX,San Francisco Chapulapa,2045,981,1064,16,1841,NA
OAX,San Francisco Chindúa,791,399,392,0,0,NA
OAX,San Francisco del Mar,7650,3826,3824,276,7423,NA
OAX,San Francisco Huehuetlán,991,446,545,26,963,NA
OAX,San Francisco Ixhuatán,8980,4448,4532,43,8234,NA
OAX,San Francisco Jaltepetongo,949,462,487,5,927,NA
OAX,San Francisco Lachigoló,3854,1857,1997,345,2483,NA
OAX,San Francisco Logueche,2787,1311,1476,1,2743,NA
